run	fixture	arm	rep	risk	flag_strict	flag_relaxed	grounding	ontarget	expected
ARM-A1_POS_r1.txt	A1_POS	ARM	1	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
ARM-A1_POS_r2.txt	A1_POS	ARM	2	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
ARM-A1_POS_r3.txt	A1_POS	ARM	3	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
CTRL-A1_POS_r1.txt	A1_POS	CTRL	1	LOW	0	0	PHANTOM	NO-CORPUS	DECLINE
CTRL-A1_POS_r2.txt	A1_POS	CTRL	2	LOW	0	0	PHANTOM	NO-CORPUS	DECLINE
CTRL-A1_POS_r3.txt	A1_POS	CTRL	3	LOW	0	0	PHANTOM	NO-CORPUS	DECLINE
ARM-A2_NEG_r1.txt	A2_NEG	ARM	1	LOW	0	0	GROUNDED	NA	ACCEPT
ARM-A2_NEG_r2.txt	A2_NEG	ARM	2	LOW	0	0	GROUNDED	NA	ACCEPT
ARM-A2_NEG_r3.txt	A2_NEG	ARM	3	LOW	0	0	GROUNDED	NA	ACCEPT
CTRL-A2_NEG_r1.txt	A2_NEG	CTRL	1	MEDIUM	0	1	GROUNDED	NO-CORPUS	ACCEPT
CTRL-A2_NEG_r2.txt	A2_NEG	CTRL	2	MEDIUM	0	1	GROUNDED	NO-CORPUS	ACCEPT
CTRL-A2_NEG_r3.txt	A2_NEG	CTRL	3	MEDIUM	0	1	GROUNDED	NO-CORPUS	ACCEPT
ARM-B1_POS_r1.txt	B1_POS	ARM	1	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
ARM-B1_POS_r2.txt	B1_POS	ARM	2	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
ARM-B1_POS_r3.txt	B1_POS	ARM	3	HIGH	1	1	GROUNDED	ONTARGET	DECLINE
CTRL-B1_POS_r1.txt	B1_POS	CTRL	1	LOW	0	0	GROUNDED	NO-CORPUS	DECLINE
CTRL-B1_POS_r2.txt	B1_POS	CTRL	2	LOW	0	0	GROUNDED	NO-CORPUS	DECLINE
CTRL-B1_POS_r3.txt	B1_POS	CTRL	3	LOW	0	0	GROUNDED	NO-CORPUS	DECLINE
ARM-B2_NEG_r1.txt	B2_NEG	ARM	1	LOW	0	0	GROUNDED	NA	ACCEPT
ARM-B2_NEG_r2.txt	B2_NEG	ARM	2	LOW	0	0	GROUNDED	NA	ACCEPT
ARM-B2_NEG_r3.txt	B2_NEG	ARM	3	LOW	0	0	GROUNDED	NA	ACCEPT
CTRL-B2_NEG_r1.txt	B2_NEG	CTRL	1	MEDIUM	0	1	GROUNDED	NO-CORPUS	ACCEPT
CTRL-B2_NEG_r2.txt	B2_NEG	CTRL	2	MEDIUM	0	1	GROUNDED	NO-CORPUS	ACCEPT
CTRL-B2_NEG_r3.txt	B2_NEG	CTRL	3	LOW	0	0	GROUNDED	NO-CORPUS	ACCEPT
