tidewatch/PR_q.md	BORDERLINE	Open an issue before a large change so we can talk about shape.	PR is self-described large (940 lines, new crate) with no prior issue mentioned; could prompt a re-shape/split request, though the roadmap marks the feature as wanted
tidewatch/PR_q.md	BORDERLINE	It starts in under 20ms, holds no state on disk, and is meant to be reached for the way you reach for less(1).	Startup with 8 files is 23ms (over 20ms); single-file stays 19.1ms, so only weakly predictive
tidewatch/PR_m.md	CORE	We do not ship a browser interface.	PR adds a browser view, which is directly on the settled not-doing list
tidewatch/PR_m.md	CORE	We do not run as a background daemon and we do not listen on a socket.	PR adds an HTTP listener on 127.0.0.1, i.e. listens on a socket
tidewatch/PR_m.md	CORE	An optional surface is still a surface I maintain forever, and it changes what every future bug report is about.	Defeats the PR's main defense (off by default / opt-in flag); an opt-in HTTP surface is still declined
tidewatch/PR_m.md	BORDERLINE	Running as a background daemon is on our not-doing list, and putting it behind a flag does not move it off that list.	Literally about daemons, but its flag reasoning maps onto the --web opt-in defense
tidewatch/PR_m.md	BORDERLINE	The terminal is the product, not a fallback for it.	A browser mirror of the tail treats the terminal as replaceable; weaker alone than the explicit browser ban
ferrule/PR_z.md	CORE	We do not accept conditional compilation branches inside command logic.	PR adds cfg(target_os = "windows") branches in cmd/verify.rs and cmd/manifest.rs
ferrule/PR_z.md	CORE	Platform differences live behind the platform module and nowhere else.	PR puts a Windows-specific path in command files, outside the platform module
ferrule/PR_z.md	CORE	We add a runtime dependency only when the default command set uses it.	windows-sys is used only on Windows targets, not by the default command set everywhere
ferrule/PR_z.md	CORE	A dependency that exists for one platform, one flag, or one benchmark is a dependency the whole project carries.	windows-sys exists for one platform, precisely the named case
ferrule/PR_z.md	CORE	I would rather be thirty percent slower everywhere than fast on one platform and unreviewable on the others.	PR is exactly "fast on one platform" (4.1x on Windows only)
ferrule/PR_z.md	BORDERLINE	If you need one, the right change is to widen the platform module's interface so that every platform answers the same question, and then call it from the command like everybody else.	Prescribes a major reshape of this PR; depends on "one" referring to the prior sentence
ferrule/PR_z.md	BORDERLINE	If you can get the same win through the platform module so that all four targets go through it, I will merge that the day it lands.	Implies a per-platform win outside the platform module needs rework; conditional acceptance rather than outright decline
ferrule/PR_z.md	BORDERLINE	If a branch exists here that I cannot exercise, it will rot, and the way I will find out is a bug report from somebody who trusted a manifest.	A Windows-only branch the Linux-only maintainer cannot run; weakened because the PR adds a Windows CI job
ferrule/PR_z.md	BORDERLINE	I only run Linux.	The Windows-only path is one the maintainer cannot exercise; needs the rot sentence to become a reason
ferrule/PR_z.md	BORDERLINE	One code path.	Heading fragment; the PR adds a second code path per platform, but it is a label more than a sentence
ferrule/PR_k.md	NONE
